"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Location_Prefix","RDataPath","Tags"
"LEUK_HEK_PJA27_inter_30.hic","Subsampled Hi-C in HEK cells expressing the NHA9 fusion with an F to S mutated IDR","3.17","hg19","HIC","https://zenodo.org/record/7786502/files/LEUK_HEK_PJA27_inter_30.hic","v1","Homo sapiens",9606,FALSE,"Phanstiel Lab","Eric S Davis <ericscottdavis@outlook.com>",NA,"FilePath","https://zenodo.org/","record/7786502/files/LEUK_HEK_PJA27_inter_30.hic","Hi-C"
"LEUK_HEK_PJA30_inter_30.hic","Subsampled Hi-C in HEK cells expressing the NHA9 fusion with a Wildtype IDR","3.17","hg19","HIC","https://zenodo.org/record/7786502/files/LEUK_HEK_PJA30_inter_30.hic","v1","Homo sapiens",9606,FALSE,"Phanstiel Lab","Eric S Davis <ericscottdavis@outlook.com>",NA,"FilePath","https://zenodo.org/","record/7786502/files/LEUK_HEK_PJA30_inter_30.hic","Hi-C"
"FS_5kbLoops.txt","Loops called with SIP (https://github.com/PouletAxel/SIP) using Hi-C data from HEK cells expressing an NHA9 fusion with an F to S mutated IDR","3.17","hg19","TXT","https://zenodo.org/record/7817671/files/FS_5kbLoops.txt","v1","Homo sapiens",9606,FALSE,"Phanstiel Lab","Eric S Davis <ericscottdavis@outlook.com>",NA,"FilePath","https://zenodo.org/","record/7817671/files/FS_5kbLoops.txt","BEDPE"
"WT_5kbLoops.txt","Loops called with SIP (https://github.com/PouletAxel/SIP) using Hi-C data from HEK cells expressing an NHA9 fusion with a Wildtype IDR","3.17","hg19","TXT","https://zenodo.org/record/7817671/files/WT_5kbLoops.txt","v1","Homo sapiens",9606,FALSE,"Phanstiel Lab","Eric S Davis <ericscottdavis@outlook.com>",NA,"FilePath","https://zenodo.org/","record/7817671/files/WT_5kbLoops.txt","BEDPE"
"LIMA_0000.bedpe","Loops called with SIP (https://github.com/PouletAxel/SIP) using Hi-C data from THP-1 cells exposed to LPS & IF-G for 0 minutes","3.17","hg19","TXT","https://zenodo.org/record/7817695/files/LIMA_0000.bedpe","v1","Homo sapiens",9606,FALSE,"Phanstiel Lab","Eric S Davis <ericscottdavis@outlook.com>",NA,"FilePath","https://zenodo.org/","record/7817695/files/LIMA_0000.bedpe","BEDPE"
"LIMA_0030.bedpe","Loops called with SIP (https://github.com/PouletAxel/SIP) using Hi-C data from THP-1 cells exposed to LPS & IF-G for 30 minutes","3.17","hg19","TXT","https://zenodo.org/record/7817695/files/LIMA_0030.bedpe","v1","Homo sapiens",9606,FALSE,"Phanstiel Lab","Eric S Davis <ericscottdavis@outlook.com>",NA,"FilePath","https://zenodo.org/","record/7817695/files/LIMA_0030.bedpe","BEDPE"
"LIMA_0060.bedpe","Loops called with SIP (https://github.com/PouletAxel/SIP) using Hi-C data from THP-1 cells exposed to LPS & IF-G for 60 minutes","3.17","hg19","TXT","https://zenodo.org/record/7817695/files/LIMA_0060.bedpe","v1","Homo sapiens",9606,FALSE,"Phanstiel Lab","Eric S Davis <ericscottdavis@outlook.com>",NA,"FilePath","https://zenodo.org/","record/7817695/files/LIMA_0060.bedpe","BEDPE"
"LIMA_0090.bedpe","Loops called with SIP (https://github.com/PouletAxel/SIP) using Hi-C data from THP-1 cells exposed to LPS & IF-G for 90 minutes","3.17","hg19","TXT","https://zenodo.org/record/7817695/files/LIMA_0090.bedpe","v1","Homo sapiens",9606,FALSE,"Phanstiel Lab","Eric S Davis <ericscottdavis@outlook.com>",NA,"FilePath","https://zenodo.org/","record/7817695/files/LIMA_0090.bedpe","BEDPE"
"LIMA_0120.bedpe","Loops called with SIP (https://github.com/PouletAxel/SIP) using Hi-C data from THP-1 cells exposed to LPS & IF-G for 120 minutes","3.17","hg19","TXT","https://zenodo.org/record/7817695/files/LIMA_0120.bedpe","v1","Homo sapiens",9606,FALSE,"Phanstiel Lab","Eric S Davis <ericscottdavis@outlook.com>",NA,"FilePath","https://zenodo.org/","record/7817695/files/LIMA_0120.bedpe","BEDPE"
"LIMA_0240.bedpe","Loops called with SIP (https://github.com/PouletAxel/SIP) using Hi-C data from THP-1 cells exposed to LPS & IF-G for 240 minutes","3.17","hg19","TXT","https://zenodo.org/record/7817695/files/LIMA_0240.bedpe","v1","Homo sapiens",9606,FALSE,"Phanstiel Lab","Eric S Davis <ericscottdavis@outlook.com>",NA,"FilePath","https://zenodo.org/","record/7817695/files/LIMA_0240.bedpe","BEDPE"
"LIMA_0360.bedpe","Loops called with SIP (https://github.com/PouletAxel/SIP) using Hi-C data from THP-1 cells exposed to LPS & IF-G for 360 minutes","3.17","hg19","TXT","https://zenodo.org/record/7817695/files/LIMA_0360.bedpe","v1","Homo sapiens",9606,FALSE,"Phanstiel Lab","Eric S Davis <ericscottdavis@outlook.com>",NA,"FilePath","https://zenodo.org/","record/7817695/files/LIMA_0360.bedpe","BEDPE"
"LIMA_1440.bedpe","Loops called with SIP (https://github.com/PouletAxel/SIP) using Hi-C data from THP-1 cells exposed to LPS & IF-G for 1440 minutes","3.17","hg19","TXT","https://zenodo.org/record/7817695/files/LIMA_1440.bedpe","v1","Homo sapiens",9606,FALSE,"Phanstiel Lab","Eric S Davis <ericscottdavis@outlook.com>",NA,"FilePath","https://zenodo.org/","record/7817695/files/LIMA_1440.bedpe","BEDPE"
